Date,GDP
1/1/2012,15973.9
4/1/2012,16121.9
7/1/2012,16227.9
10/1/2012,16297.3
1/1/2013,16440.7
4/1/2013,16526.8
7/1/2013,16727.5
10/1/2013,16957.6
1/1/2014,16984.3
4/1/2014,17270.0
7/1/2014,17522.1
10/1/2014,17615.9
1/1/2015,17649.3
4/1/2015,17913.7
