id,Actual,SVM,ANN
0,129.05,74.4042231575,56.5530329625
1,127.53,73.2257124779,56.5530329645
2,129.51,72.5801656121,56.5530329582
3,131.8,74.2597811864,56.5530329622
4,131.54,77.02539731,56.5530329636
5,130.87,77.8036177258,56.553032963
6,131.17,76.4437896376,56.5530329572
7,130.38,76.2731376095,56.5530329637
8,130.14,74.3953235071,56.5530329465
9,130.78,74.5657296484,56.5530329228
10,131.22,75.4594487673,56.5530329488
11,132.41,75.7567246545,56.5530329589
12,135.64,76.6685988103,56.5530329644
13,134.62,79.4740075369,56.5530329661
14,134.07,78.6763709894,56.553032966
15,132.48,78.8997504074,56.553032966
16,139.64,77.8738231826,56.5530329648
17,147.78,83.2036570047,56.5530329661
18,145.37,83.6580778649,56.5530328877
19,146.26,82.5293936458,56.5530284685
20,147.34,83.0480720069,56.8060248828
21,147.22,82.7159594547,66.6149645327
22,148.6,82.6217880779,65.8038220011
23,148.0,82.8041930339,70.1672178843
24,147.58,82.8191121313,71.7021295072
25,148.04,83.7516431594,71.475958109
26,147.92,82.9839273495,71.6934880331
27,148.09,82.7897606707,71.5842788931
28,149.73,81.900047784,71.8122922263
29,149.92,82.4163035782,71.9027773126
30,151.17,82.711552967,71.902815335
31,153.75,82.438036768,71.9032051021
32,158.31,82.3034258598,71.9032384396
33,154.74,82.8134721245,71.9015376068
34,154.38,81.2502783477,71.902521661
35,153.01,80.9720159293,71.9026357719
36,151.73,80.7388606416,71.9024300893
37,150.85,80.5726830238,71.9031777944
38,153.8,80.6437011836,71.9031128828
39,155.57,81.3723339093,71.9030695869
40,154.35,81.5312480895,71.9017099259
41,154.47,81.710600872,71.9002488621
42,153.12,81.8510889671,71.899693141
43,154.75,82.0989618198,71.8980379534
44,152.42,82.2778574011,71.9010898917
45,151.17,82.4147619824,71.8957876987
46,152.04,82.7600689419,64.1328764496
47,151.57,82.4920773635,71.8946587655
48,153.67,82.535265568,71.6142677691
49,154.51,82.268479499,71.9031885071
50,155.73,82.1479203355,71.9031930353
51,154.11,82.1623767043,71.9031598973
52,154.5,81.9043763692,71.9031734833
53,152.81,81.8433365618,71.8982941227
54,151.65,81.78475711,71.8967551582
55,148.23,81.7059696994,71.902884452
56,148.17,81.8450198435,71.9009511092
57,148.85,82.5956038006,56.9241079091
58,152.7,82.3477393103,63.3595381018
59,150.08,83.3502439423,71.9028337553
60,148.64,81.8375045096,71.9029178943
61,149.28,92.7645053894,71.7768465235
62,150.93,93.3601831183,71.8470704255
63,152.32,83.0874621068,71.9021854881
64,153.36,93.6478961548,71.902028149
65,153.42,94.2425886204,71.9023842038
66,154.38,94.8319619467,71.9017401706
67,153.24,95.98897117,71.9013419132
68,153.21,95.9256452839,71.9013478824
69,152.43,95.6797609152,71.9013310557
70,151.97,95.9330657135,71.9012308697
71,149.6,94.5531153542,71.9021075666
72,152.67,92.0610815304,71.9020224176
73,153.33,94.0027001439,71.9019151154
74,151.19,94.4034359673,71.9012693235
75,149.87,92.9292373053,71.9027630721
76,148.4,91.1397570078,71.9021199394
77,147.8,90.2231749311,71.800857803
78,147.51,90.6556000198,67.7972427081
79,146.15,90.4593736347,63.5044386759
80,143.34,90.1676131016,63.5046992366
81,144.67,88.6425197507,63.5047502172
82,144.02,87.9965448682,63.5047558029
83,142.91,79.3382562085,63.5791944938
84,141.04,76.8155937995,63.5020002359
85,141.49,74.9914642513,60.9763894318
86,145.46,75.6221381827,56.9527277203
87,145.89,78.8991800529,63.5006139136
88,145.43,80.5295403183,63.5047602923
89,145.62,79.1655316268,63.5047594132
90,147.96,81.2640969742,63.5047814888
91,146.88,86.4042094227,70.7423149751
92,146.71,84.4796628262,71.5258292564
93,147.05,84.1811214442,71.812952575
94,146.42,88.661545246,71.9032236749
95,147.35,84.5640424161,71.8835771922
96,144.81,89.3412401592,71.9032260292
97,142.8,86.2314939284,71.9029768638
98,143.0,81.9421476681,71.7231003228
99,142.33,81.577422326,71.7645850057
100,140.52,78.9554829786,63.5118056911
101,141.25,73.7589976345,63.5013140781
102,143.25,79.5066973219,64.8555149073
103,143.81,79.029695011,64.8334722959
104,141.19,77.5074257561,70.3642419956
105,140.73,75.7092514167,63.5166388822
106,140.64,75.819141781,63.505498912
107,140.1,75.6121253595,63.5046145887
108,141.62,75.0773237566,63.5050676245
109,142.96,73.2616916464,63.5064395341
110,142.8,76.3410960828,63.5129419865
111,142.29,75.5731729807,63.5065141488
112,142.34,74.4825761174,63.5064578078
113,143.43,75.5090584768,63.5084621035
114,145.38,78.0055823544,71.8296658006
115,145.13,79.8533062121,71.9032266331
116,145.7,77.2152496566,71.9031794542
117,144.43,78.5721724636,71.90319325
118,143.0,77.7360550612,71.9031936351
119,142.45,74.6201306562,71.6111685794
120,142.48,73.2768759883,66.4068079978
121,138.73,74.6713742739,71.8835649915
122,138.72,74.7480238736,63.5051510863
123,140.73,73.925900324,63.5034042382
124,140.21,73.9167207727,63.5050395139
125,140.52,72.2218843136,67.1559632091
126,143.15,74.755631346,58.1689838918
127,141.92,75.3939447325,61.5977838437
128,142.8,76.1300339952,58.6165539636
129,144.48,76.5652748002,63.5014643648
130,146.62,75.6444012675,63.7807717047
131,147.75,78.4727061002,71.9032048577
132,146.89,82.7652729356,71.9018050029
133,148.49,82.3408366299,71.9008443013
134,146.84,85.5202681115,71.897061365
135,146.72,83.7894504507,71.8982949078
136,145.0,86.2090407443,71.8990148765
137,146.47,82.4174564115,71.8983393098
138,146.11,90.0063975484,71.8968260157
139,144.06,86.6597776003,71.8940945068
140,141.03,82.0609708963,71.9014616785
141,141.81,77.2468168108,63.7688360485
142,144.14,76.4037441358,63.6836647798
143,143.01,79.7771059285,71.8998400322
