id,Actual,SVM,ANN
0,79.88,38.9075411389,45.9597204846
1,79.23,38.4710683418,45.8078029883
2,81.18,38.3683244042,45.9035586055
3,82.49,38.2240361198,46.1916934795
4,79.79,37.538804515,46.579772657
5,80.23,37.3763953178,46.4166869118
6,80.87,37.213845785,46.3588428773
7,80.42,37.0670888066,46.3782774333
8,79.58,37.1132151768,46.3405959712
9,80.61,38.0516543068,46.1357917136
10,81.22,37.9967324989,46.134220748
11,81.29,37.1755437593,46.3326654815
12,82.74,37.1272409004,46.341232282
13,88.22,36.565725176,46.4550686731
14,88.12,36.0143394157,46.6421739046
15,88.34,35.9054575549,46.661876229
16,87.57,35.8618877364,46.6547241478
17,89.05,36.7404639687,46.6309397827
18,87.53,36.0482436284,46.6584929145
19,87.99,36.937155917,46.6340045082
20,88.49,35.5197771862,46.6682251241
21,88.7,34.2561593314,46.670581763
22,89.64,33.8293935065,46.6707401598
23,89.0,33.9545130439,46.6709107829
24,88.82,34.6556549878,46.6708032346
25,91.18,35.8366434912,46.6695067687
26,90.79,35.9293853782,46.6705769135
27,91.83,37.1551762011,46.6702306968
28,91.58,35.9994160857,46.6708281672
29,92.03,37.351712473,46.6490896347
30,93.0,37.086690573,46.6715726767
31,93.17,36.6998777704,46.671922199
32,93.51,36.1737977569,46.6718765857
33,93.58,36.4882128029,46.6724499372
34,93.45,35.9213842826,46.6712788538
35,94.26,36.2763434357,46.6702023162
36,94.55,36.2044311578,46.670675696
37,93.49,35.8372199175,46.6714832541
38,94.23,35.6855217522,46.6712640582
39,94.0,36.4592263218,46.6702044125
40,93.06,36.5413846032,46.6698865631
41,93.63,38.0184874959,46.6495829685
42,92.22,37.4413372723,46.6824297249
43,93.04,38.2656171428,46.6584735926
44,92.18,38.3328159923,46.660253937
45,91.42,38.6864905686,46.5533100215
46,93.38,39.4475622421,45.7949450285
47,93.29,39.4210726147,45.5947274653
48,94.05,39.3329624527,45.7377194247
49,94.39,38.9799760519,45.8992798314
