observation_date,GDPC96
2012-07-01,15380.802
2012-10-01,15384.254
2013-01-01,15457.169
2013-04-01,15500.224
2013-07-01,15614.441
2013-10-01,15761.517
2014-01-01,15724.948
2014-04-01,15901.450
2014-07-01,16068.849
2014-10-01,16151.431
2015-01-01,16177.317
