Date,GDPC96
7/1/2012,15380.802
10/1/2012,15384.254
1/1/2013,15457.169
4/1/2013,15500.224
7/1/2013,15614.441
10/1/2013,15761.517
1/1/2014,15724.948
4/1/2014,15901.450
7/1/2014,16068.849
10/1/2014,16151.431
1/1/2015,16177.317
